start_date,end_date,total_days,profit_days,loss_days,capital,end_balance,max_drawdown,max_ddpercent,max_drawdown_duration,total_net_pnl,daily_net_pnl,total_commission,daily_commission,total_slippage,daily_slippage,total_turnover,daily_turnover,total_trade_count,daily_trade_count,total_return,annual_return,daily_return,return_std,sharpe_ratio,ewm_sharpe,return_drawdown_ratio,rgr_ratio,ts_code
2021-10-08,2025-12-31,1030,202,220,69444.44444444444,212234.769662391,-43263.300599768176,-17.808204221522985,8,142790.3252179467,138.63138370674437,1132.9168363852627,1.0999192586264688,538.0,0.5223300970873787,1416146.0454815784,1374.899073283086,72,0.06990291262135923,205.61806831384305,47.911006209050804,0.10846271782719774,1.759097881011419,0.9552039243833397,1.466973036514035,11.546255071880475,1.945767689563479,300394.SZ
2021-10-08,2025-12-31,1030,142,198,69444.44444444444,61705.65185057945,-35290.85175885956,-47.28924383399714,989,-7738.792593865008,-7.513390867830105,2073.351597834717,2.012962716344385,802.0,0.7786407766990291,2591689.497293396,2516.2033954304816,83,0.08058252427184466,-11.143861335165584,-2.596627883922078,-0.011471023647349286,1.858351615557822,-0.09562686238319772,0.3825924290311506,-0.23565319365825954,-0.020446284244381455,300408.SZ
2021-10-08,2025-12-31,1030,157,168,69444.44444444444,68299.11762183897,-30405.417474662427,-36.50511175835142,728,-1145.3268226054552,-1.1119677889373352,1868.3109596430113,1.8138941355757392,1523.0,1.478640776699029,2335388.6995537644,2267.367669469674,86,0.08349514563106795,-1.6492706245518685,-0.384296067856746,-0.0016145849572869627,1.681446813897896,-0.014875904724249323,0.5711517702427081,-0.04517916930290066,-0.009571387803700744,300447.SZ
2021-10-08,2025-12-31,1030,198,223,69444.44444444444,140121.7268444444,-34574.46366978192,-41.95698839675589,1099,70677.28240000003,68.61872077669905,1814.2066965732085,1.7613657248283578,1186.0,1.1514563106796116,2267758.3707165113,2201.707156035448,86,0.08349514563106795,101.77528665599995,23.71462990042717,0.06815383008668688,2.2775642064107284,0.46358060626877773,1.6280214544179585,2.425705241129013,0.5220293035389366,300456.SZ
2021-10-08,2025-12-31,1030,182,212,69444.44444444444,178617.80420043546,-31399.385609143064,-30.911093316723417,360,109173.35975599101,105.99355316115633,1456.0826237937954,1.4136724502852382,780.0,0.7572815533980582,1820103.2797422442,1767.0905628565476,78,0.07572815533980583,157.2096380486271,36.63137197249564,0.09172051248991905,2.08005803629226,0.683119434517843,1.6075640237563362,5.085864690640822,0.6276291887852443,300476.SZ
2021-10-08,2025-12-31,1030,213,213,69444.44444444444,234143.24097096408,-36283.548868972866,-22.26969787267379,314,164698.79652651958,159.90174420050445,1291.6104926693683,1.253990769581911,670.0,0.6504854368932039,1614513.1158367102,1567.4884619773886,77,0.07475728155339806,237.1662669981883,55.262042795694356,0.11800058219196671,1.6891437848791258,1.0822389278245377,1.63201974388746,10.64972988651117,1.5285422569083749,300502.SZ
2021-10-08,2025-12-31,1026,216,200,69444.44444444444,156820.24043874157,-30447.704144967196,-33.73107270861375,532,87375.79599429714,85.16159453635198,1586.0554456800683,1.5458630074854467,789.0,0.7690058479532164,1982569.3071000855,1932.3287593568086,86,0.08382066276803118,125.82114623178788,29.431847071763244,0.07939309080079894,2.2399153260749842,0.5491066825534707,1.00212443294318,3.7301258492042413,0.7151765291633766,300548.SZ
2021-10-08,2025-12-31,1030,195,211,69444.44444444444,191446.11852313275,-35012.2931861988,-17.53056221598371,42,122001.6740786882,118.44822726086232,1394.5146383095018,1.3538977070966036,692.0,0.6718446601941748,1743143.297886877,1692.3721338707544,84,0.08155339805825243,175.6824106733112,40.93570734135407,0.09845430400149464,1.7654463998037222,0.8639443934466077,0.8116368952101042,10.021493236145648,1.2864628119968644,300570.SZ
2021-10-08,2025-12-31,1030,172,187,69444.44444444444,69077.65433654354,-33958.74618659714,-34.853007538761084,604,-366.79010790089797,-0.35610690087465824,1568.033980130378,1.5223630875052214,564.0,0.5475728155339806,1960042.4751629727,1902.9538593815269,85,0.0825242718446602,-0.5281777553773015,-0.12307054494228384,-0.0005141529564836573,1.895525745059525,-0.004202118263082686,-0.39244806953556366,-0.015154438387846416,-0.0027128724230530044,300571.SZ
2021-10-08,2025-12-31,1020,169,200,69444.44444444444,167354.07643111394,-41867.8272,-28.417044082647987,8,97909.63198666948,95.98983528104851,1335.4346657185692,1.309249672273107,448.0,0.4392156862745098,1669293.3321482118,1636.5620903413842,77,0.07549019607843137,140.9898700608041,33.17408707313037,0.08623379545847389,1.9812271789157077,0.6742933011320972,1.0674675197605603,4.961454458484488,0.8018707465017574,300620.SZ
2021-10-08,2025-12-31,1030,165,176,69444.44444444444,105561.93724444446,-43318.2864,-33.581688153710274,595,36117.492799999985,35.06552699029125,1506.5072,1.462628349514563,1086.0,1.054368932038835,1883134.0,1828.285436893204,82,0.07961165048543689,52.00918963200003,12.118646127844666,0.040657358362711796,1.5598804848323549,0.40378804240632044,0.07380408587672356,1.5487366029350074,0.34227464675459823,300657.SZ
2021-10-08,2025-12-31,1030,190,223,69444.44444444444,87861.81060698959,-93884.02664939866,-62.386779870987496,793,18417.36616254513,17.880938021888475,1840.8071889566918,1.7871914455890212,1198.0,1.163106796116505,2301008.9861958646,2233.9893069862765,101,0.09805825242718447,26.521007274065013,6.179652180364664,0.022838657650464066,2.3956157745173585,0.14769270042530186,0.5069844470291985,0.4251062056562148,0.06368479981048412,300684.SZ
2021-10-08,2025-12-31,1030,168,200,69444.44444444444,40098.63142739958,-47252.87483126849,-64.61857667602814,1081,-29345.81301704488,-28.4910805990727,2514.3707538105873,2.441136654185036,2218.0,2.153398058252427,3142963.4422632344,3051.4208177312958,99,0.09611650485436893,-42.25797074454459,-9.846517455039518,-0.053318919190543324,2.7558973873041084,-0.2997256530871932,0.11827510441200066,-0.6539600981372472,-0.1400283410181152,300739.SZ
2021-10-08,2025-12-31,1010,148,173,69444.44444444444,131436.12888701144,-22837.70533497969,-20.29827669318482,249,61991.68444256703,61.377905388680226,934.2622674248578,0.9250121459652058,206.0,0.20396039603960395,1167827.8342810725,1156.2651824565073,65,0.06435643564356436,89.2680255972965,21.21220410232788,0.06316771775599646,1.4036637037067106,0.6971684691735048,0.582364508700727,4.397813023569059,0.7484615916428169,300757.SZ
2021-10-08,2025-12-31,1030,158,216,69444.44444444444,41381.64380583653,-53513.168849592126,-56.39209072881898,1231,-28062.800638607925,-27.245437513211577,1482.6244558999456,1.4394412193203354,816.0,0.7922330097087379,1853280.569874932,1799.3015241504195,91,0.0883495145631068,-40.41043291959539,-9.416023204565915,-0.050261133614189324,2.043744299706995,-0.38098803940819587,-0.8749600962173775,-0.7165975298543733,-0.16727556268183086,300812.SZ
2021-10-08,2025-12-31,1030,180,232,69444.44444444444,39487.066186366,-52140.515088652166,-67.4350677964964,1039,-29957.37825807842,-29.08483326027031,1695.5932908220116,1.6462070784679723,804.0,0.7805825242718447,2119491.6135275145,2057.7588480849654,102,0.09902912621359224,-43.138624691632955,-10.051718374749427,-0.05481105751772679,3.486544069609962,-0.24354467772773122,0.21384542841989385,-0.6397061069444677,-0.12298307388072485,300814.SZ
2021-10-08,2025-12-31,1030,172,198,69444.44444444444,62511.46562621323,-36503.80646716923,-47.55546749574777,700,-6932.978818231193,-6.731047396340964,1872.4980099957907,1.817959233005622,846.0,0.8213592233009709,2340622.512494738,2272.4490412570276,86,0.08349514563106795,-9.98348949825294,-2.3262499801754424,-0.010211367229447658,2.6421206732941593,-0.059873806100386,0.36523788740159424,-0.20993357912306562,-0.04311442461801481,300852.SZ
2021-10-08,2025-12-31,1030,186,212,69444.44444444444,109247.16684811545,-24169.022424002833,-32.35779557924661,633,39802.722403670996,38.643419809389314,1774.265947899753,1.722588298931799,938.0,0.9106796116504854,2217832.434874691,2153.2353736647487,104,0.10097087378640776,57.315920261286266,13.355165886124954,0.04398891538824241,1.762200903969742,0.38671717017644963,0.6924285214892167,1.771317212290169,0.3113732161355754,300857.SZ
